Year of Film Release,Film,Film Studio,Film Studio/Producer(s),Producer(s),Production Company,Nominations,Wins
1984 (57th),Amadeus,,,Saul Zaentz,,,
1984 (57th),The Killing Fields,,,David Puttnam,,,
1984 (57th),A Passage to India,,,John Brabourne and Richard B. Goodwin,,,
1984 (57th),Places in the Heart,,,Arlene Donovan,,,
1984 (57th),A Soldier's Story,,,"Norman Jewison, Ronald L. Schwary, and Patrick Palmer",,,
1985 (58th),,,,,,,
1985 (58th),Out of Africa,,,Sydney Pollack,,,
1985 (58th),The Color Purple,,,"Steven Spielberg, Kathleen Kennedy, Frank Marshall, and Quincy Jones",,,
1985 (58th),Kiss of the Spider Woman,,,David Weisman,,,
1985 (58th),Prizzi's Honor,,,John Foreman,,,
1985 (58th),Witness,,,Edward S. Feldman,,,
1986 (59th),,,,,,,
1986 (59th),Platoon,,,Arnold Kopelson,,,
1986 (59th),Children of a Lesser God,,,Burt Sugarman and Patrick J. Palmer,,,
1986 (59th),Hannah and Her Sisters,,,Robert Greenhut,,,
1986 (59th),The Mission,,,Fernando Ghia and David Puttnam,,,
1986 (59th),A Room with a View,,,Ismail Merchant,,,
1987 (60th),,,,,,,
1987 (60th),The Last Emperor,,,Jeremy Thomas,,,
1987 (60th),Broadcast News,,,James L. Brooks,,,
1987 (60th),Fatal Attraction,,,Stanley R. Jaffe and Sherry Lansing,,,
1987 (60th),Hope and Glory,,,John Boorman,,,
1987 (60th),Moonstruck,,,Patrick J. Palmer and Norman Jewison,,,
1988 (61st),,,,,,,
1988 (61st),Rain Man,,,Mark Johnson,,,
1988 (61st),The Accidental Tourist,,,"Lawrence Kasdan, Charles Okun, and Michael Grillo",,,
1988 (61st),Dangerous Liaisons,,,Norma Heyman and Hank Moonjean,,,
1988 (61st),Mississippi Burning,,,Frederick Zollo and Robert F. Colesberry,,,
1988 (61st),Working Girl,,,Douglas Wick,,,
1989 (62nd),,,,,,,
1989 (62nd),Driving Miss Daisy,,,Richard D. Zanuck and Lili Fini Zanuck,,,
1989 (62nd),Born on the Fourth of July,,,A. Kitman Ho and Oliver Stone,,,
1989 (62nd),Dead Poets Society,,,"Steven Haft, Paul Junger Witt, and Tony Thomas",,,
1989 (62nd),Field of Dreams,,,Lawrence Gordon and Charles Gordon,,,
1989 (62nd),My Left Foot,,,Noel Pearson,,,
1990 (63rd),,,,,,,
1990 (63rd),Dances with Wolves,,,Jim Wilson and Kevin Costner,,,
1990 (63rd),Awakenings,,,Walter Parkes and Lawrence Lasker,,,
1990 (63rd),Ghost,,,Lisa Weinstein,,,
1990 (63rd),The Godfather Part III,,,Francis Ford Coppola,,,
1990 (63rd),Goodfellas,,,Irwin Winkler,,,
1991 (64th),,,,,,,
1991 (64th),The Silence of the Lambs,,,"Edward Saxon, Kenneth Utt, and Ron Bozman",,,
1991 (64th),Beauty and the Beast,,,Don Hahn,,,
1991 (64th),Bugsy,,,"Mark Johnson, Barry Levinson and Warren Beatty",,,
1991 (64th),JFK,,,A. Kitman Ho and Oliver Stone,,,
1991 (64th),The Prince of Tides,,,Barbra Streisand and Andrew S. Karsch,,,
1992 (65th),,,,,,,
1992 (65th),Unforgiven,,,Clint Eastwood,,,
1992 (65th),The Crying Game,,,Stephen Woolley,,,
1992 (65th),A Few Good Men,,,"David Brown, Rob Reiner, and Andrew Scheinman",,,
1992 (65th),Howards End,,,Ismail Merchant,,,
1992 (65th),Scent of a Woman,,,Martin Brest,,,
1993 (66th),,,,,,,
1993 (66th),Schindler's List,,,"Steven Spielberg, Gerald R. Molen, and Branko Lustig",,,
1993 (66th),The Fugitive,,,Arnold Kopelson,,,
1993 (66th),In the Name of the Father,,,Jim Sheridan,,,
1993 (66th),The Piano,,,Jan Chapman,,,
1993 (66th),The Remains of the Day,,,"Mike Nichols, John Calley, and Ismail Merchant",,,
1994 (67th),,,,,,,
1994 (67th),Forrest Gump,,,"Wendy Finerman, Steve Tisch, and Steve Starkey",,,
1994 (67th),Four Weddings and a Funeral,,,Duncan Kenworthy,,,
1994 (67th),Pulp Fiction,,,Lawrence Bender,,,
1994 (67th),Quiz Show,,,"Michael Jacobs, Julian Krainin, Michael Nozik, and Robert Redford",,,
1994 (67th),The Shawshank Redemption,,,Niki Marvin,,,
1995 (68th),,,,,,,
1995 (68th),Braveheart,,,"Mel Gibson, Alan Ladd Jr., and Bruce Davey",,,
1995 (68th),Apollo 13,,,Brian Grazer,,,
1995 (68th),Babe,,,"Bill Miller, George Miller, and Doug Mitchell",,,
1995 (68th),The Postman (Il Postino),,,"Mario Cecchi Gori, Vittorio Cecchi Gori, and Gaetano Daniele",,,
1995 (68th),Sense and Sensibility,,,Lindsay Doran,,,
1996 (69th),,,,,,,
1996 (69th),The English Patient,,,Saul Zaentz,,,
1996 (69th),Fargo,,,Ethan Coen,,,
1996 (69th),Jerry Maguire,,,"James L. Brooks, Laurence Mark, Richard Sakai, and Cameron Crowe",,,
1996 (69th),Secrets & Lies,,,Simon Channing-Williams,,,
1996 (69th),Shine,,,Jane Scott,,,
1997 (70th),,,,,,,
1997 (70th),Titanic,,,James Cameron and Jon Landau,,,
1997 (70th),As Good as It Gets,,,"James L. Brooks, Bridget Johnson, and Kristi Zea",,,
1997 (70th),The Full Monty,,,Uberto Pasolini,,,
1997 (70th),Good Will Hunting,,,Lawrence Bender,,,
1997 (70th),L.A. Confidential,,,"Curtis Hanson, Arnon Milchan, and Michael Nathanson",,,
1998 (71st),,,,,,,
1998 (71st),Shakespeare in Love,,,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, and Marc Norman",,,
1998 (71st),Elizabeth,,,"Alison Owen, Eric Fellner and Tim Bevan",,,
1998 (71st),Life Is Beautiful,,,Elda Ferri and Gianluigi Braschi,,,
1998 (71st),Saving Private Ryan,,,"Steven Spielberg, Ian Bryce, Mark Gordon, and Gary Levinsohn",,,
1998 (71st),The Thin Red Line,,,"Robert Michael Geisler, John Roberdeau, and Grant Hill",,,
1999 (72nd),,,,,,,
1999 (72nd),American Beauty,,,Bruce Cohen and Dan Jinks,,,
1999 (72nd),The Cider House Rules,,,Richard N. Gladstein,,,
1999 (72nd),The Green Mile,,,Frank Darabont and David Valdes,,,
1999 (72nd),The Insider,,,Pieter Jan Brugge and Michael Mann,,,
1999 (72nd),The Sixth Sense,,,"Frank Marshall, Kathleen Kennedy, and Barry Mendel",,,
2000 (73rd),,,,,,,
2000 (73rd),Gladiator,,,"Douglas Wick, David Franzoni, and Branko Lustig",,,
2000 (73rd),Chocolat,,,"David Brown, Kit Golden, and Leslie Holleran",,,
2000 (73rd),"Crouching Tiger, Hidden Dragon",,,"William Kong, Hsu Li-kong, and Ang Lee",,,
2000 (73rd),Erin Brockovich,,,"Danny DeVito, Michael Shamberg, and Stacey Sher",,,
2000 (73rd),Traffic,,,"Edward Zwick, Marshall Herskovitz, and Laura Bickford",,,
2001 (74th),,,,,,,
2001 (74th),A Beautiful Mind,,,Brian Grazer and Ron Howard,,,
2001 (74th),Gosford Park,,,"Robert Altman, Bob Balaban, and David Levy",,,
2001 (74th),In the Bedroom,,,"Graham Leader, Ross Katz, and Todd Field",,,
2001 (74th),The Lord of the Rings: The Fellowship of the Ring,,,"Peter Jackson, Fran Walsh, and Barrie M. Osborne",,,
2001 (74th),Moulin Rouge!,,,"Martin Brown, Baz Luhrmann, and Fred Baron",,,
2002 (75th),,,,,,,
2002 (75th),Chicago,,,Martin Richards,,,
2002 (75th),Gangs of New York,,,Alberto Grimaldi and Harvey Weinstein,,,
2002 (75th),The Hours,,,Scott Rudin and Robert Fox,,,
2002 (75th),The Lord of the Rings: The Two Towers,,,"Barrie M. Osborne, Fran Walsh, and Peter Jackson",,,
2002 (75th),The Pianist,,,"Roman Polanski, Robert Benmussa, and Alain Sarde",,,
2003 (76th),,,,,,,
2003 (76th),The Lord of the Rings: The Return of the King,,,"Barrie M. Osborne, Peter Jackson, and Fran Walsh",,,
2003 (76th),Lost in Translation,,,Ross Katz and Sofia Coppola,,,
2003 (76th),Master and Commander: The Far Side of the World,,,"Samuel Goldwyn Jr., Peter Weir, and Duncan Henderson",,,
2003 (76th),Mystic River,,,"Robert Lorenz, Judie G. Hoyt, and Clint Eastwood",,,
2003 (76th),Seabiscuit,,,"Kathleen Kennedy, Frank Marshall, and Gary Ross",,,
2004 (77th),,,,,,,
2004 (77th),Million Dollar Baby,,,"Clint Eastwood, Albert S. Ruddy, and Tom Rosenberg",,,
2004 (77th),The Aviator,,,Michael Mann and Graham King,,,
2004 (77th),Finding Neverland,,,Richard N. Gladstein and Nellie Bellflower,,,
2004 (77th),Ray,,,"Taylor Hackford, Stuart Benjamin, and Howard Baldwin",,,
2004 (77th),Sideways,,,Michael London,,,
2005 (78th),,,,,,,
2005 (78th),Crash,,,Paul Haggis and Cathy Schulman,,,
2005 (78th),Brokeback Mountain,,,Diana Ossana and James Schamus,,,
2005 (78th),Capote,,,"Caroline Baron, William Vince, and Michael Ohoven",,,
2005 (78th),"Good Night, and Good Luck",,,Grant Heslov,,,
2005 (78th),Munich,,,"Steven Spielberg, Kathleen Kennedy, and Barry Mendel",,,
2006 (79th),,,,,,,
2006 (79th),The Departed,,,Graham King,,,
2006 (79th),Babel,,,"Alejandro González Iñárritu, Steve Golin, and Jon Kilik",,,
2006 (79th),Letters from Iwo Jima,,,"Clint Eastwood, Steven Spielberg, and Robert Lorenz",,,
2006 (79th),Little Miss Sunshine,,,"David T. Friendly, Peter Saraf, and Marc Turtletaub",,,
2006 (79th),The Queen,,,"Andy Harries, Christine Langan, and Tracey Seaward",,,
2007 (80th),,,,,,,
2007 (80th),No Country for Old Men,,,"Scott Rudin, Joel Coen, and Ethan Coen",,,
2007 (80th),Atonement,,,"Tim Bevan, Eric Fellner, and Paul Webster",,,
2007 (80th),Juno,,,"Lianne Halfon, Mason Novick, and Russell Smith",,,
2007 (80th),Michael Clayton,,,"Jennifer Fox, Kerry Orent, and Sydney Pollack",,,
2007 (80th),There Will Be Blood,,,"Paul Thomas Anderson, Daniel Lupi, and JoAnne Sellar",,,
2008 (81st),,,,,,,
2008 (81st),Slumdog Millionaire,,,Christian Colson,,,
2008 (81st),The Curious Case of Benjamin Button,,,"Kathleen Kennedy, Frank Marshall, and Ceán Chaffin",,,
2008 (81st),Frost/Nixon,,,"Ron Howard, Brian Grazer, and Eric Fellner",,,
2008 (81st),Milk,,,Bruce Cohen and Dan Jinks,,,
2008 (81st),The Reader,,,"Anthony Minghella, Sydney Pollack, Donna Gigliotti, and Redmond Morris",,,
2009 (82nd),,,,,,,
2009 (82nd),The Hurt Locker,,,"Kathryn Bigelow, Mark Boal, Nicolas Chartier, and Greg Shapiro",,,
2009 (82nd),Avatar,,,James Cameron and Jon Landau,,,
2009 (82nd),The Blind Side,,,"Gil Netter, Andrew A. Kosove, and Broderick Johnson",,,
2009 (82nd),District 9,,,Peter Jackson and Carolynne Cunningham,,,
2009 (82nd),An Education,,,Finola Dwyer and Amanda Posey,,,
2009 (82nd),Inglourious Basterds,,,Lawrence Bender,,,
2009 (82nd),Precious: Based on the Novel 'Push' by Sapphire,,,"Lee Daniels, Sarah Siegel-Magness, and Gary Magness",,,
2009 (82nd),A Serious Man,,,Joel Coen and Ethan Coen,,,
2009 (82nd),Up,,,Jonas Rivera,,,
2009 (82nd),Up in the Air,,,"Daniel Dubiecki, Ivan Reitman, and Jason Reitman",,,
2010 (83rd),,,,,,,
2010 (83rd),The King's Speech,,,"Iain Canning, Emile Sherman, and Gareth Unwin",,,
2010 (83rd),Black Swan,,,"Scott Franklin, Mike Medavoy, and Brian Oliver",,,
2010 (83rd),The Fighter,,,"David Hoberman, Todd Lieberman, and Mark Wahlberg",,,
2010 (83rd),Inception,,,Christopher Nolan and Emma Thomas,,,
2010 (83rd),The Kids Are All Right,,,"Gary Gilbert, Jeffrey Levy-Hinte, and Celine Rattray",,,
2010 (83rd),127 Hours,,,"Danny Boyle, John Smithson, and Christian Colson",,,
2010 (83rd),The Social Network,,,"Dana Brunetti, Ceán Chaffin, Michael De Luca, and Scott Rudin",,,
2010 (83rd),Toy Story 3,,,Darla K. Anderson,,,
2010 (83rd),True Grit,,,"Joel Coen, Ethan Coen, and Scott Rudin",,,
2010 (83rd),Winter's Bone,,,Alix Madigan and Anne Rosellini,,,
2011 (84th),,,,,,,
2011 (84th),The Artist,,,Thomas Langmann,,,
2011 (84th),The Descendants,,,"Jim Burke, Alexander Payne, and Jim Taylor",,,
2011 (84th),Extremely Loud & Incredibly Close,,,Scott Rudin,,,
2011 (84th),The Help,,,"Brunson Green, Chris Columbus, and Michael Barnathan",,,
2011 (84th),Hugo,,,Graham King and Martin Scorsese,,,
2011 (84th),Midnight in Paris,,,Letty Aronson and Stephen Tenenbaum,,,
2011 (84th),Moneyball,,,"Michael De Luca, Rachael Horovitz, and Brad Pitt",,,
2011 (84th),The Tree of Life,,,"Sarah Green, Bill Pohlad, Dede Gardner, and Grant Hill",,,
2011 (84th),War Horse,,,Steven Spielberg and Kathleen Kennedy,,,
2012 (85th),,,,,,,
2012 (85th),Argo,,,"Grant Heslov, Ben Affleck, and George Clooney",,,
2012 (85th),Amour,,,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka, and Michael Katz",,,
2012 (85th),Beasts of the Southern Wild,,,"Dan Janvey, Josh Penn, and Michael Gottwald",,,
2012 (85th),Django Unchained,,,"Stacey Sher, Reginald Hudlin, and Pilar Savone",,,
2012 (85th),Life of Pi,,,"Gil Netter, Ang Lee, and David Womark",,,
2012 (85th),Lincoln,,,Steven Spielberg and Kathleen Kennedy,,,
2012 (85th),Les Misérables,,,"Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh",,,
2012 (85th),Silver Linings Playbook,,,"Donna Gigliotti, Bruce Cohen, and Jonathan Gordon",,,
2012 (85th),Zero Dark Thirty,,,"Mark Boal, Kathryn Bigelow, and Megan Ellison",,,
2013 (86th),,,,,,,
2013 (86th),12 Years a Slave,,,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony Katagas",,,
2013 (86th),American Hustle,,,"Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon",,,
2013 (86th),Captain Phillips,,,"Scott Rudin, Dana Brunetti, and Michael De Luca",,,
2013 (86th),Dallas Buyers Club,,,Robbie Brenner and Rachel Winter,,,
2013 (86th),Gravity,,,Alfonso Cuarón and David Heyman,,,
2013 (86th),Her,,,"Megan Ellison, Spike Jonze, and Vincent Landay",,,
2013 (86th),Nebraska,,,Albert Berger and Ron Yerxa,,,
2013 (86th),Philomena,,,"Gabrielle Tana, Steve Coogan, and Tracey Seaward",,,
2013 (86th),The Wolf of Wall Street,,,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger Koskoff",,,
2014 (87th),,,,,,,
2014 (87th),Birdman or (The Unexpected Virtue of Ignorance),,,"Alejandro G. Iñárritu, John Lesher, and James W. Skotchdopole",,,
2014 (87th),American Sniper,,,"Clint Eastwood, Andrew Lazar, Robert Lorenz, Bradley Cooper, and Peter Morgan",,,
2014 (87th),Boyhood,,,Richard Linklater and Cathleen Sutherland,,,
2014 (87th),The Grand Budapest Hotel,,,"Wes Anderson, Scott Rudin, Steven Rales, and Jeremy Dawson",,,
2014 (87th),The Imitation Game,,,"Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman",,,
2014 (87th),Selma,,,"Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner",,,
2014 (87th),The Theory of Everything,,,"Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten",,,
2014 (87th),Whiplash,,,"Jason Blum, Helen Estabrook, and David Lancaster",,,
2015 (88th),,,,,,,
2015 (88th),Spotlight,,,"Blye Pagon Faust, Steve Golin, Nicole Rocklin, and Michael Sugar",,,
2015 (88th),The Big Short,,,"Dede Gardner, Jeremy Kleiner, and Brad Pitt",,,
2015 (88th),Bridge of Spies,,,"Steven Spielberg, Marc Platt, and Kristie Macosko Krieger",,,
2015 (88th),Brooklyn,,,Finola Dwyer and Amanda Posey,,,
2015 (88th),Mad Max: Fury Road,,,Doug Mitchell and George Miller,,,
2015 (88th),The Martian,,,"Simon Kinberg, Ridley Scott, Michael Schaefer, and Mark Huffam",,,
2015 (88th),The Revenant,,,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent, and Keith Redmon",,,
2015 (88th),Room,,,Ed Guiney,,,
2016 (89th),,,,,,,
2016 (89th),Moonlight,,,"Adele Romanski, Dede Gardner, and Jeremy Kleiner",,,
2016 (89th),Arrival,,,"Shawn Levy, Dan Levine, Aaron Ryder, and David Linde",,,
2016 (89th),Fences,,,"Scott Rudin, Denzel Washington, and Todd Black",,,
2016 (89th),Hacksaw Ridge,,,Bill Mechanic and David Permut,,,
2016 (89th),Hell or High Water,,,Carla Hacken and Julie Yorn,,,
2016 (89th),Hidden Figures,,,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, and Theodore Melfi",,,
2016 (89th),La La Land,,,"Fred Berger, Jordan Horowitz, and Marc Platt",,,
2016 (89th),Lion,,,"Emile Sherman, Iain Canning, and Angie Fielder",,,
2016 (89th),Manchester by the Sea,,,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, and Kevin J. Walsh",,,
2017 (90th),,,,,,,
2017 (90th),The Shape of Water,,,Guillermo del Toro and J. Miles Dale,,,
2017 (90th),Call Me by Your Name,,,"Peter Spears, Luca Guadagnino, Emilie Georges, and Marco Morabito",,,
2017 (90th),Darkest Hour,,,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, and Douglas Urbanski",,,
2017 (90th),Dunkirk,,,Emma Thomas and Christopher Nolan,,,
2017 (90th),Get Out,,,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., and Jordan Peele",,,
2017 (90th),Lady Bird,,,"Scott Rudin, Eli Bush, and Evelyn O'Neill",,,
2017 (90th),Phantom Thread,,,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, and Daniel Lupi",,,
2017 (90th),The Post,,,"Amy Pascal, Steven Spielberg, and Kristie Macosko Krieger",,,
2017 (90th),"Three Billboards Outside Ebbing, Missouri",,,"Graham Broadbent, Pete Czernin, and Martin McDonagh",,,
2018 (91st),,,,,,,
2018 (91st),Green Book,,,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, and Nick Vallelonga",,,
2018 (91st),Black Panther,,,Kevin Feige,,,
2018 (91st),BlacKkKlansman,,,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, and Spike Lee",,,
2018 (91st),Bohemian Rhapsody,,,Graham King,,,
2018 (91st),The Favourite,,,"Ceci Dempsey, Ed Guiney, Lee Magiday, and Yorgos Lanthimos",,,
2018 (91st),Roma,,,Gabriela Rodríguez and Alfonso Cuarón,,,
2018 (91st),A Star Is Born,,,"Bill Gerber, Bradley Cooper, and Lynette Howell Taylor",,,
2018 (91st),Vice,,,"Dede Gardner, Jeremy Kleiner, Adam McKay, and Kevin Messick",,,
2019 (92nd),,,,,,,
2019 (92nd),Parasite,,,Kwak Sin-ae and Bong Joon-ho,,,
2019 (92nd),Ford v Ferrari,,,"Peter Chernin, Jenno Topping, and James Mangold",,,
2019 (92nd),The Irishman,,,"Martin Scorsese, Robert De Niro, Jane Rosenthal, and Emma Tillinger Koskoff",,,
2019 (92nd),Jojo Rabbit,,,"Carthew Neal, Taika Waititi, and Chelsea Winstanley",,,
2019 (92nd),Joker,,,"Todd Phillips, Bradley Cooper, and Emma Tillinger Koskoff",,,
2019 (92nd),Little Women,,,Amy Pascal,,,
2019 (92nd),Marriage Story,,,Noah Baumbach and David Heyman,,,
2019 (92nd),1917,,,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, and Callum McDougall",,,
2019 (92nd),Once Upon a Time in Hollywood,,,"David Heyman, Shannon McIntosh, and Quentin Tarantino",,,
2020 (93rd),,,,,,,
2020 (93rd),Nomadland,,,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey, and Chloé Zhao",,,
2020 (93rd),The Father,,,"David Parfitt, Jean-Louis Livi, and Philippe Carcassonne",,,
2020 (93rd),Judas and the Black Messiah,,,"Shaka King, Charles D. King, and Ryan Coogler",,,
2020 (93rd),Mank,,,"Ceán Chaffin, Eric Roth, and Douglas Urbanski",,,
2020 (93rd),Minari,,,Christina Oh,,,
2020 (93rd),Promising Young Woman,,,"Ben Browning, Ashley Fox, Emerald Fennell, and Josey McNamara",,,
2020 (93rd),Sound of Metal,,,Bert Hamelinck and Sacha Ben Harroche,,,
2020 (93rd),The Trial of the Chicago 7,,,Marc Platt and Stuart M. Besser,,,
2021 (94th),,,,,,,
2021 (94th),CODA,,,"Philippe Rousselet, Fabrice Gianfermi, and Patrick Wachsberger",,,
2021 (94th),Belfast,,,"Laura Berwick, Kenneth Branagh, Becca Kovacik, and Tamar Thomas",,,
2021 (94th),Don't Look Up,,,Adam McKay and Kevin Messick,,,
2021 (94th),Drive My Car,,,Teruhisa Yamamoto,,,
2021 (94th),Dune,,,"Mary Parent, Denis Villeneuve, and Cale Boyter",,,
2021 (94th),King Richard,,,"Tim White, Trevor White, and Will Smith",,,
2021 (94th),Licorice Pizza,,,"Sara Murphy, Adam Somner, and Paul Thomas Anderson",,,
2021 (94th),Nightmare Alley,,,"Guillermo del Toro, J. Miles Dale, and Bradley Cooper",,,
2021 (94th),The Power of the Dog,,,"Jane Campion, Tanya Seghatchian, Emile Sherman, Iain Canning, and Roger Frappier",,,
2021 (94th),West Side Story,,,Steven Spielberg and Kristie Macosko Krieger,,,
2022 (95th),,,,,,,
2022 (95th),Everything Everywhere All at Once,,,"Daniel Kwan, Daniel Scheinert and Jonathan Wang",,,
2022 (95th),All Quiet on the Western Front,,,Malte Grunert,,,
2022 (95th),Avatar: The Way of Water,,,James Cameron and Jon Landau,,,
2022 (95th),The Banshees of Inisherin,,,"Graham Broadbent, Pete Czernin, and Martin McDonagh",,,
2022 (95th),Elvis,,,"Baz Luhrmann, Catherine Martin, Gail Berman, Patrick McCormick and Schuyler Weiss",,,
2022 (95th),The Fabelmans,,,"Kristie Macosko Krieger, Steven Spielberg, Tony Kushner",,,
2022 (95th),Tár,,,"Todd Field, Alexandra Milchan, and Scott Lambert",,,
2022 (95th),Top Gun: Maverick,,,"Tom Cruise, Christopher McQuarrie, David Ellison and Jerry Bruckheimer",,,
2022 (95th),Triangle of Sadness,,,Erik Hemmendorff and Philippe Bober,,,
2022 (95th),Women Talking,,,"Dede Gardner, Jeremy Kleiner, and Frances McDormand",,,
,,,,,Columbia Pictures,56.0,12.0
,,,,,Paramount Pictures,21.0,11.0
,,,,,20th Century Studios,63.0,9.0
,,,,,Metro-Goldwyn-Mayer,40.0,9.0
,,,,,Universal Pictures,35.0,9.0
,,,,,Warner Bros. Pictures,26.0,9.0
,,,,,Searchlight Pictures,21.0,5.0
,,,,,Miramax Films,15.0,4.0
,,,,,DreamWorks,13.0,4.0
,,,,,Orion Pictures,7.0,4.0
,,,,,Plan B Entertainment,8.0,3.0
,,,,,The Weinstein Company,6.0,2.0
,,,,,Selznick International Pictures,5.0,2.0
,,,,,A24,5.0,2.0
,,,,,RKO Pictures,11.0,1.0
,,,,,Samuel Goldwyn Productions,8.0,1.0
,,,,,J. Arthur Rank-Two Cities Films,3.0,1.0
,,,,,New Line Cinema,3.0,1.0
,,,,,Apple,3.0,1.0
,,,,,Neon,2.0,1.0
,,,,,Hear/Say Productions,2.0,1.0
,,,,,Focus Features,11.0,0.0
,,,,,Netflix,8.0,0.0
,,,,,Touchstone Pictures,6.0,0.0
,,,,,Annapurna Pictures,5.0,0.0
,,,,,Walt Disney Pictures,4.0,0.0
,,,,,Cosmopolitan Productions,3.0,0.0
,,,,,Amazon Studios,2.0,0.0
,,,,,Pixar Animation Studios,2.0,0.0
,,,,,Hollywood Pictures,2.0,0.0
,,,,,The Caddo Company,2.0,0.0
,,,,,Walter Wanger (production company),2.0,0.0
,,,,,Mercury,2.0,0.0
