Category,Name,Superlative,Year,Notes,Film,Nominees,Awards,Nominations,Recipient
Most awards,Leon Shamroy,4 awards,1942,Awards resulted from 18 nominations.,,,,,
Most awards,Joseph Ruttenberg,4 awards,1958,Awards resulted from 10 nominations.,,,,,
Most nominations,Leon Shamroy,18 nominations,1965,Nominations resulted in 4 awards.,,,,,
Most nominations,Charles Lang,18 nominations,1972,Nominations resulted in 1 award.,,,,,
Most consecutive awards,Emmanuel Lubezki,3 consecutive awards,"2013, 2014, 2015",Awards resulted from 8 nominations.,,,,,
Oldest winner,Conrad Hall,Age 76,2002,"Hall died just two months before the awards ceremony. Hall is also the oldest non-posthumous winner, at age 73, in 1999.",,,,,
Oldest nominee,Asakazu Nakai,Age 84,1985,Nakai shared the nomination with two others.,,,,,
Youngest winner,Floyd Crosby,Age 31,1930/1931,,,,,,
Youngest nominee,Edward Cronjager,Age 27,1930/1931,,,,,,
Most nominations without an award,George Folsey,13 nominations,1963,,,,,,
First female nominee,Rachel Morrison[8],,2017,,,,,,
Nominee/winner who also directed the film,Alfonso Cuarón,Cuarón served as director and director of photography for Roma,2018,,,,,,
,,,1927/28 (1st),,,,,,
,,,1927/28 (1st),,Sunrise: A Song of Two Humans,Charles Rosher Karl Struss,,,
,,,1927/28 (1st),,The Devil Dancer,George Barnes,,,
,,,1927/28 (1st),,The Magic Flame,George Barnes,,,
,,,1927/28 (1st),,Sadie Thompson,George Barnes,,,
,,,1928/29 (2nd) [note 1],,,,,,
,,,1928/29 (2nd) [note 1],,White Shadows in the South Seas,Clyde De Vinna,,,
,,,1928/29 (2nd) [note 1],,The Divine Lady,John F. Seitz,,,
,,,1928/29 (2nd) [note 1],,4 Devils,Ernest Palmer,,,
,,,1928/29 (2nd) [note 1],,In Old Arizona,Arthur Edeson,,,
,,,1928/29 (2nd) [note 1],,Our Dancing Daughters,George Barnes,,,
,,,1928/29 (2nd) [note 1],,Street Angel,Ernest Palmer,,,
,,,1929/30 (3rd),,,,,,
,,,1929/30 (3rd),,With Byrd at the South Pole,Joseph T. Rucker and Willard Van der Veer,,,
,,,1929/30 (3rd),,All Quiet on the Western Front,Arthur Edeson,,,
,,,1929/30 (3rd),,Anna Christie,William H. Daniels,,,
,,,1929/30 (3rd),,Hell's Angels,Tony Gaudio and Harry Perry,,,
,,,1929/30 (3rd),,The Love Parade,Victor Milner,,,
,,,1930/31 (4th),,,,,,
,,,1930/31 (4th),,Tabu: A Story of the South Seas,Floyd Crosby,,,
,,,1930/31 (4th),,Cimarron,Edward Cronjager,,,
,,,1930/31 (4th),,Morocco,Lee Garmes,,,
,,,1930/31 (4th),,The Right to Love,Charles Lang,,,
,,,1930/31 (4th),,Svengali,Barney McGill,,,
,,,1931/32 (5th),,,,,,
,,,1931/32 (5th),,Shanghai Express,Lee Garmes,,,
,,,1931/32 (5th),,Arrowsmith,Ray June,,,
,,,1931/32 (5th),,Dr. Jekyll and Mr. Hyde,Karl Struss,,,
,,,1932/33 (6th),,,,,,
,,,1932/33 (6th),,A Farewell to Arms,Charles Lang,,,
,,,1932/33 (6th),,Reunion in Vienna,George Folsey,,,
,,,1932/33 (6th),,The Sign of the Cross,Karl Struss,,,
,,,1934 (7th),,,,,,
,,,1934 (7th),,Cleopatra,Victor Milner,,,
,,,1934 (7th),,The Affairs of Cellini,Charles Rosher,,,
,,,1934 (7th),,Operator 13,George Folsey,,,
,,,1935 (8th),,,,,,
,,,1935 (8th),,A Midsummer Night's Dream,Hal Mohr [note 2],,,
,,,1935 (8th),,Barbary Coast,Ray June,,,
,,,1935 (8th),,The Crusades,Victor Milner,,,
,,,1935 (8th),,Les Misérables,Gregg Toland,,,
,,,1936 (9th),,,,,,
,,,1936 (9th),,Black-and-White,Black-and-White,,,
,,,1936 (9th),,Anthony Adverse,Tony Gaudio,,,
,,,1936 (9th),,The General Died at Dawn,Victor Milner,,,
,,,1936 (9th),,The Gorgeous Hussy,George Folsey,,,
,,,1936 (9th),,Color (Special Achievement),Color (Special Achievement),,,
,,,1936 (9th),,The Garden of Allah,W. Howard Greene and Harold Rosson,,,
,,,1937 (10th),,,,,,
,,,1937 (10th),,Black-and-White,Black-and-White,,,
,,,1937 (10th),,The Good Earth,Karl Freund,,,
,,,1937 (10th),,Dead End,Gregg Toland,,,
,,,1937 (10th),,Wings over Honolulu,Joseph Valentine,,,
,,,1937 (10th),,Color (Special Achievement),Color (Special Achievement),,,
,,,1937 (10th),,A Star Is Born,W. Howard Greene,,,
,,,1938 (11th),,,,,,
,,,1938 (11th),,Black-and-White,Black-and-White,,,
,,,1938 (11th),,The Great Waltz,Joseph Ruttenberg,,,
,,,1938 (11th),,Algiers,James Wong Howe,,,
,,,1938 (11th),,Army Girl,Ernest Miller and Harry J. Wild,,,
,,,1938 (11th),,The Buccaneer,Victor Milner,,,
,,,1938 (11th),,Jezebel,Ernest Haller,,,
,,,1938 (11th),,Mad About Music,Joseph Valentine,,,
,,,1938 (11th),,Merrily We Live,Norbert Brodine,,,
,,,1938 (11th),,Suez,J. Peverell Marley,,,
,,,1938 (11th),,Vivacious Lady,Robert De Grasse,,,
,,,1938 (11th),,You Can't Take It with You,Joseph Walker,,,
,,,1938 (11th),,The Young in Heart,Leon Shamroy,,,
,,,1938 (11th),,Color (Special Achievement),Color (Special Achievement),,,
,,,1938 (11th),,Sweethearts,Oliver T. Marsh and Allen Davey,,,
,,,1939 (12th),,,,,,
,,,1939 (12th),,Black-and-White [note 3][9],Black-and-White [note 3][9],,,
,,,1939 (12th),,Wuthering Heights,Gregg Toland,,,
,,,1939 (12th),,Stagecoach,Bert Glennon,,,
,,,1939 (12th),,Color [note 4][9],Color [note 4][9],,,
,,,1939 (12th),,Gone with the Wind,Ernest Haller and Ray Rennahan,,,
,,,1939 (12th),,The Private Lives of Elizabeth and Essex,Sol Polito and W. Howard Greene,,,
,,,1940 (13th),,,,,,
,,,1940 (13th),,Black-and-White,Black-and-White,,,
,,,1940 (13th),,Rebecca,George Barnes,,,
,,,1940 (13th),,Abe Lincoln in Illinois,James Wong Howe,,,
,,,1940 (13th),,"All This, and Heaven Too",Ernest Haller,,,
,,,1940 (13th),,"Arise, My Love",Charles Lang,,,
,,,1940 (13th),,Boom Town,Harold Rosson,,,
,,,1940 (13th),,Foreign Correspondent,Rudolph Maté,,,
,,,1940 (13th),,The Letter,Tony Gaudio,,,
,,,1940 (13th),,The Long Voyage Home,Gregg Toland,,,
,,,1940 (13th),,Spring Parade,Joseph Valentine,,,
,,,1940 (13th),,Waterloo Bridge,Joseph Ruttenberg,,,
,,,1940 (13th),,Color,Color,,,
,,,1940 (13th),,The Thief of Bagdad,Georges Périnal,,,
,,,1940 (13th),,Bitter Sweet,Oliver T. Marsh and Allen M. Davey,,,
,,,1940 (13th),,The Blue Bird,Arthur C. Miller and Ray Rennahan,,,
,,,1940 (13th),,Down Argentine Way,Leon Shamroy and Ray Rennahan,,,
,,,1940 (13th),,North West Mounted Police,Victor Milner and W. Howard Greene,,,
,,,1940 (13th),,Northwest Passage,Sidney Wagner and William V. Skall,,,
,,,1941 (14th),,,,,,
,,,1941 (14th),,Black-and-White,Black-and-White,,,
,,,1941 (14th),,How Green Was My Valley,Arthur C. Miller,,,
,,,1941 (14th),,The Chocolate Soldier,Karl Freund,,,
,,,1941 (14th),,Citizen Kane,Gregg Toland,,,
,,,1941 (14th),,Dr. Jekyll and Mr. Hyde,Joseph Ruttenberg,,,
,,,1941 (14th),,Here Comes Mr. Jordan,Joseph Walker,,,
,,,1941 (14th),,Hold Back the Dawn,Leo Tover,,,
,,,1941 (14th),,Sergeant York,Sol Polito,,,
,,,1941 (14th),,Sun Valley Serenade,Edward Cronjager,,,
,,,1941 (14th),,Sundown,Charles Lang,,,
,,,1941 (14th),,That Hamilton Woman,Rudolph Maté,,,
,,,1941 (14th),,Color,Color,,,
,,,1941 (14th),,Blood and Sand,Ernest Palmer and Ray Rennahan,,,
,,,1941 (14th),,Aloma of the South Seas,"Wilfred M. Cline, Karl Struss and William E. Snyder",,,
,,,1941 (14th),,Billy the Kid,William V. Skall and Leonard Smith,,,
,,,1941 (14th),,Blossoms in the Dust,Karl Freund and W. Howard Greene,,,
,,,1941 (14th),,Dive Bomber,Bert Glennon,,,
,,,1941 (14th),,Louisiana Purchase,Harry Hallenberger and Ray Rennahan,,,
,,,1942 (15th),,,,,,
,,,1942 (15th),,Black-and-White,Black-and-White,,,
,,,1942 (15th),,Mrs. Miniver,Joseph Ruttenberg,,,
,,,1942 (15th),,Kings Row,James Wong Howe,,,
,,,1942 (15th),,The Magnificent Ambersons,Stanley Cortez,,,
,,,1942 (15th),,Moontide,Charles G. Clarke,,,
,,,1942 (15th),,The Pied Piper,Edward Cronjager,,,
,,,1942 (15th),,The Pride of the Yankees,Rudolph Maté,,,
,,,1942 (15th),,"Take a Letter, Darling",John J. Mescall,,,
,,,1942 (15th),,The Talk of the Town,Ted Tetzlaff,,,
,,,1942 (15th),,Ten Gentlemen from West Point,Leon Shamroy,,,
,,,1942 (15th),,This Above All,Arthur C. Miller,,,
,,,1942 (15th),,Color,Color,,,
,,,1942 (15th),,The Black Swan,Leon Shamroy,,,
,,,1942 (15th),,Arabian Nights,"Milton Krasner, William V. Skall and W. Howard Greene",,,
,,,1942 (15th),,Captains of the Clouds,Sol Polito,,,
,,,1942 (15th),,Jungle Book,W. Howard Greene,,,
,,,1942 (15th),,Reap the Wild Wind,Victor Milner and William V. Skall,,,
,,,1942 (15th),,To the Shores of Tripoli,Edward Cronjager and William V. Skall,,,
,,,1943 (16th),,,,,,
,,,1943 (16th),,Black-and-White,Black-and-White,,,
,,,1943 (16th),,The Song of Bernadette,Arthur C. Miller,,,
,,,1943 (16th),,Air Force,"James Wong Howe, Elmer Dyer and Charles A. Marshall",,,
,,,1943 (16th),,Casablanca,Arthur Edeson,,,
,,,1943 (16th),,Corvette K-225,Tony Gaudio,,,
,,,1943 (16th),,Five Graves to Cairo,John F. Seitz,,,
,,,1943 (16th),,The Human Comedy,Harry Stradling,,,
,,,1943 (16th),,Madame Curie,Joseph Ruttenberg,,,
,,,1943 (16th),,The North Star,James Wong Howe,,,
,,,1943 (16th),,Sahara,Rudolph Maté,,,
,,,1943 (16th),,So Proudly We Hail!,Charles Lang,,,
,,,1943 (16th),,Color,Color,,,
,,,1943 (16th),,Phantom of the Opera,Hal Mohr and W. Howard Greene,,,
,,,1943 (16th),,For Whom the Bell Tolls,Ray Rennahan,,,
,,,1943 (16th),,Heaven Can Wait,Edward Cronjager,,,
,,,1943 (16th),,"Hello, Frisco, Hello",Charles G. Clarke and Allen M. Davey,,,
,,,1943 (16th),,Lassie Come Home,Leonard Smith,,,
,,,1943 (16th),,Thousands Cheer,George Folsey,,,
,,,1944 (17th),,,,,,
,,,1944 (17th),,Black-and-White,Black-and-White,,,
,,,1944 (17th),,Laura,Joseph LaShelle,,,
,,,1944 (17th),,Double Indemnity,John F. Seitz,,,
,,,1944 (17th),,Dragon Seed,Sidney Wagner,,,
,,,1944 (17th),,Gaslight,Joseph Ruttenberg,,,
,,,1944 (17th),,Going My Way,Lionel Lindon,,,
,,,1944 (17th),,Lifeboat,Glen MacWilliams,,,
,,,1944 (17th),,Since You Went Away,Stanley Cortez and Lee Garmes,,,
,,,1944 (17th),,Thirty Seconds Over Tokyo,Robert Surtees and Harold Rosson,,,
,,,1944 (17th),,The Uninvited,Charles Lang,,,
,,,1944 (17th),,The White Cliffs of Dover,George Folsey,,,
,,,1944 (17th),,Color,Color,,,
,,,1944 (17th),,Wilson,Leon Shamroy,,,
,,,1944 (17th),,Cover Girl,Rudolph Maté and Allen M. Davey,,,
,,,1944 (17th),,Home in Indiana,Edward Cronjager,,,
,,,1944 (17th),,Kismet,Charles Rosher,,,
,,,1944 (17th),,Lady in the Dark,Ray Rennahan,,,
,,,1944 (17th),,Meet Me in St. Louis,George Folsey,,,
,,,1945 (18th),,,,,,
,,,1945 (18th),,Black-and-White,Black-and-White,,,
,,,1945 (18th),,The Picture of Dorian Gray,Harry Stradling,,,
,,,1945 (18th),,The Keys of the Kingdom,Arthur C. Miller,,,
,,,1945 (18th),,The Lost Weekend,John F. Seitz,,,
,,,1945 (18th),,Mildred Pierce,Ernest Haller,,,
,,,1945 (18th),,Spellbound,George Barnes,,,
,,,1945 (18th),,Color,Color,,,
,,,1945 (18th),,Leave Her to Heaven,Leon Shamroy,,,
,,,1945 (18th),,Anchors Aweigh,Robert H. Planck and Charles P. Boyle,,,
,,,1945 (18th),,National Velvet,Leonard Smith,,,
,,,1945 (18th),,A Song to Remember,Tony Gaudio and Allen M. Davey,,,
,,,1945 (18th),,The Spanish Main,George Barnes,,,
,,,1946 (19th),,,,,,
,,,1946 (19th),,Black-and-White,Black-and-White,,,
,,,1946 (19th),,Anna and the King of Siam,Arthur C. Miller,,,
,,,1946 (19th),,The Green Years,George Folsey,,,
,,,1946 (19th),,Color,Color,,,
,,,1946 (19th),,The Yearling,"Charles Rosher, Leonard Smith and Arthur Arling",,,
,,,1946 (19th),,The Jolson Story,Joseph Walker,,,
,,,1947 (20th),,,,,,
,,,1947 (20th),,Black-and-White,Black-and-White,,,
,,,1947 (20th),,Great Expectations,Guy Green,,,
,,,1947 (20th),,Green Dolphin Street,George Folsey,,,
,,,1947 (20th),,The Ghost and Mrs. Muir,Charles Lang,,,
,,,1947 (20th),,Color,Color,,,
,,,1947 (20th),,Black Narcissus,Jack Cardiff,,,
,,,1947 (20th),,Life with Father,J. Peverell Marley and William V. Skall,,,
,,,1947 (20th),,Mother Wore Tights,Harry Jackson,,,
,,,1948 (21st),,,,,,
,,,1948 (21st),,Black-and-White,Black-and-White,,,
,,,1948 (21st),,The Naked City,William Daniels,,,
,,,1948 (21st),,A Foreign Affair,Charles Lang,,,
,,,1948 (21st),,I Remember Mama,Nicholas Musuraca,,,
,,,1948 (21st),,Johnny Belinda,Ted McCord,,,
,,,1948 (21st),,Portrait of Jennie,Joseph August (posthumously),,,
,,,1948 (21st),,Color,Color,,,
,,,1948 (21st),,Joan of Arc,"Joseph Valentine, William V. Skall and Winton C. Hoch",,,
,,,1948 (21st),,Green Grass of Wyoming,Charles G. Clarke,,,
,,,1948 (21st),,The Loves of Carmen,William E. Snyder,,,
,,,1948 (21st),,The Three Musketeers,Robert H. Planck,,,
,,,1949 (22nd),,,,,,
,,,1949 (22nd),,Black-and-White,Black-and-White,,,
,,,1949 (22nd),,Battleground,Paul C. Vogel,,,
,,,1949 (22nd),,Champion,Franz Planer,,,
,,,1949 (22nd),,Come to the Stable,Joseph LaShelle,,,
,,,1949 (22nd),,The Heiress,Leo Tover,,,
,,,1949 (22nd),,Prince of Foxes,Leon Shamroy,,,
,,,1949 (22nd),,Color,Color,,,
,,,1949 (22nd),,She Wore a Yellow Ribbon,Winton C. Hoch,,,
,,,1949 (22nd),,The Barkleys of Broadway,Harry Stradling,,,
,,,1949 (22nd),,Jolson Sings Again,William E. Snyder,,,
,,,1949 (22nd),,Little Women,Robert H. Planck and Charles Schoenbaum,,,
,,,1949 (22nd),,Sand,Charles G. Clarke,,,
,,,1950 (23rd),,,,,,
,,,1950 (23rd),,Black-and-White,Black-and-White,,,
,,,1950 (23rd),,The Third Man,Robert Krasker,,,
,,,1950 (23rd),,All About Eve,Milton Krasner,,,
,,,1950 (23rd),,The Asphalt Jungle,Harold Rosson,,,
,,,1950 (23rd),,The Furies,Victor Milner,,,
,,,1950 (23rd),,Sunset Boulevard,John F. Seitz,,,
,,,1950 (23rd),,Color,Color,,,
,,,1950 (23rd),,King Solomon's Mines,Robert Surtees,,,
,,,1950 (23rd),,Annie Get Your Gun,Charles Rosher,,,
,,,1950 (23rd),,Broken Arrow,Ernest Palmer,,,
,,,1950 (23rd),,The Flame and the Arrow,Ernest Haller,,,
,,,1950 (23rd),,Samson and Delilah,George Barnes,,,
,,,1951 (24th),,,,,,
,,,1951 (24th),,Black-and-White,Black-and-White,,,
,,,1951 (24th),,A Place in the Sun,William C. Mellor,,,
,,,1951 (24th),,Death of a Salesman,Franz Planer,,,
,,,1951 (24th),,The Frogmen,Norbert Brodine,,,
,,,1951 (24th),,Strangers on a Train,Robert Burks,,,
,,,1951 (24th),,A Streetcar Named Desire,Harry Stradling,,,
,,,1951 (24th),,Color,Color,,,
,,,1951 (24th),,An American in Paris,Alfred Gilks and John Alton,,,
,,,1951 (24th),,David and Bathsheba,Leon Shamroy,,,
,,,1951 (24th),,Quo Vadis,Robert Surtees and William V. Skall,,,
,,,1951 (24th),,Show Boat,Charles Rosher,,,
,,,1951 (24th),,When Worlds Collide,John F. Seitz and W. Howard Greene,,,
,,,1952 (25th),,,,,,
,,,1952 (25th),,Black-and-White,Black-and-White,,,
