Category,Name,Superlative,Year,Notes,Film,Nominees,Awards,Nominations,Recipient
,,,1952 (25th),,The Bad and the Beautiful,Robert Surtees,,,
,,,1952 (25th),,The Big Sky,Russell Harlan,,,
,,,1952 (25th),,My Cousin Rachel,Joseph LaShelle,,,
,,,1952 (25th),,Navajo,Virgil Miller,,,
,,,1952 (25th),,Sudden Fear,Charles Lang,,,
,,,1952 (25th),,Color,Color,,,
,,,1952 (25th),,The Quiet Man,Winton C. Hoch and Archie Stout,,,
,,,1952 (25th),,Hans Christian Andersen,Harry Stradling,,,
,,,1952 (25th),,Ivanhoe,Freddie Young,,,
,,,1952 (25th),,Million Dollar Mermaid,George Folsey,,,
,,,1952 (25th),,The Snows of Kilimanjaro,Leon Shamroy,,,
,,,1953 (26th),,,,,,
,,,1953 (26th),,Black-and-White,Black-and-White,,,
,,,1953 (26th),,From Here to Eternity,Burnett Guffey,,,
,,,1953 (26th),,The Four Poster,Hal Mohr,,,
,,,1953 (26th),,Julius Caesar,Joseph Ruttenberg,,,
,,,1953 (26th),,Martin Luther,Joseph C. Brun,,,
,,,1953 (26th),,Roman Holiday,Franz Planer and Henri Alekan,,,
,,,1953 (26th),,Color,Color,,,
,,,1953 (26th),,Shane,Loyal Griggs,,,
,,,1953 (26th),,All the Brothers Were Valiant,George Folsey,,,
,,,1953 (26th),,Beneath the 12-Mile Reef,Edward Cronjager,,,
,,,1953 (26th),,Lili,Robert H. Planck,,,
,,,1953 (26th),,The Robe,Leon Shamroy,,,
,,,1954 (27th),,,,,,
,,,1954 (27th),,Black-and-White,Black-and-White,,,
,,,1954 (27th),,On the Waterfront,Boris Kaufman,,,
,,,1954 (27th),,The Country Girl,John F. Warren,,,
,,,1954 (27th),,Executive Suite,George Folsey,,,
,,,1954 (27th),,Rogue Cop,John F. Seitz,,,
,,,1954 (27th),,Sabrina,Charles Lang,,,
,,,1954 (27th),,Color,Color,,,
,,,1954 (27th),,Three Coins in the Fountain,Milton Krasner,,,
,,,1954 (27th),,The Egyptian,Leon Shamroy,,,
,,,1954 (27th),,Rear Window,Robert Burks,,,
,,,1954 (27th),,Seven Brides for Seven Brothers,George Folsey,,,
,,,1954 (27th),,The Silver Chalice,William V. Skall,,,
,,,1955 (28th),,,,,,
,,,1955 (28th),,Black-and-White,Black-and-White,,,
,,,1955 (28th),,The Rose Tattoo,James Wong Howe,,,
,,,1955 (28th),,Blackboard Jungle,Russell Harlan,,,
,,,1955 (28th),,I'll Cry Tomorrow,Arthur Arling,,,
,,,1955 (28th),,Marty,Joseph LaShelle,,,
,,,1955 (28th),,Queen Bee,Charles Lang,,,
,,,1955 (28th),,Color,Color,,,
,,,1955 (28th),,To Catch a Thief,Robert Burks,,,
,,,1955 (28th),,Guys and Dolls,Harry Stradling,,,
,,,1955 (28th),,Love Is a Many-Splendored Thing,Leon Shamroy,,,
,,,1955 (28th),,A Man Called Peter,Harold Lipstein,,,
,,,1955 (28th),,Oklahoma!,Robert Surtees,,,
,,,1956 (29th),,,,,,
,,,1956 (29th),,Black-and-White,Black-and-White,,,
,,,1956 (29th),,Somebody Up There Likes Me,Joseph Ruttenberg,,,
,,,1956 (29th),,Baby Doll,Boris Kaufman,,,
,,,1956 (29th),,The Bad Seed,Harold Rosson,,,
,,,1956 (29th),,The Harder They Fall,Burnett Guffey,,,
,,,1956 (29th),,Stagecoach to Fury,Walter Strenge,,,
,,,1956 (29th),,Color,Color,,,
,,,1956 (29th),,Around the World in 80 Days,Lionel Lindon,,,
,,,1956 (29th),,The Eddy Duchin Story,Harry Stradling,,,
,,,1956 (29th),,The King and I,Leon Shamroy,,,
,,,1956 (29th),,The Ten Commandments,Loyal Griggs,,,
,,,1956 (29th),,War and Peace,Jack Cardiff,,,
,,,1957 (30th) [note 5],,,,,,
,,,1957 (30th) [note 5],,The Bridge on the River Kwai,Jack Hildyard,,,
,,,1957 (30th) [note 5],,An Affair to Remember,Milton Krasner,,,
,,,1957 (30th) [note 5],,Funny Face,Ray June,,,
,,,1957 (30th) [note 5],,Peyton Place,William C. Mellor,,,
,,,1957 (30th) [note 5],,Sayonara,Ellsworth Fredricks,,,
,,,1958 (31st),,,,,,
,,,1958 (31st),,Black-and-White,Black-and-White,,,
,,,1958 (31st),,The Defiant Ones,Sam Leavitt,,,
,,,1958 (31st),,Desire Under the Elms,Daniel L. Fapp,,,
,,,1958 (31st),,I Want to Live!,Lionel Lindon,,,
,,,1958 (31st),,Separate Tables,Charles Lang,,,
,,,1958 (31st),,The Young Lions,Joseph MacDonald,,,
,,,1958 (31st),,Color,Color,,,
,,,1958 (31st),,Gigi,Joseph Ruttenberg,,,
,,,1958 (31st),,Auntie Mame,Harry Stradling,,,
,,,1958 (31st),,Cat on a Hot Tin Roof,William Daniels,,,
,,,1958 (31st),,The Old Man and the Sea,James Wong Howe,,,
,,,1958 (31st),,South Pacific,Leon Shamroy,,,
,,,1959 (32nd),,,,,,
,,,1959 (32nd),,Black-and-White,Black-and-White,,,
,,,1959 (32nd),,The Diary of Anne Frank,William C. Mellor,,,
,,,1959 (32nd),,Anatomy of a Murder,Sam Leavitt,,,
,,,1959 (32nd),,Career,Joseph LaShelle,,,
,,,1959 (32nd),,Some Like It Hot,Charles Lang,,,
,,,1959 (32nd),,The Young Philadelphians,Harry Stradling,,,
,,,1959 (32nd),,Color,Color,,,
,,,1959 (32nd),,Ben-Hur,Robert Surtees,,,
,,,1959 (32nd),,The Big Fisherman,Lee Garmes,,,
,,,1959 (32nd),,The Five Pennies,Daniel L. Fapp,,,
,,,1959 (32nd),,The Nun's Story,Franz Planer,,,
,,,1959 (32nd),,Porgy and Bess,Leon Shamroy,,,
,,,1960 (33rd),,,,,,
,,,1960 (33rd),,Black-and-White,Black-and-White,,,
,,,1960 (33rd),,Sons and Lovers,Freddie Francis,,,
,,,1960 (33rd),,The Apartment,Joseph LaShelle,,,
,,,1960 (33rd),,The Facts of Life,Charles Lang,,,
,,,1960 (33rd),,Inherit the Wind,Ernest Laszlo,,,
,,,1960 (33rd),,Psycho,John L. Russell,,,
,,,1960 (33rd),,Color,Color,,,
,,,1960 (33rd),,Spartacus,Russell Metty,,,
,,,1960 (33rd),,The Alamo,William H. Clothier,,,
,,,1960 (33rd),,BUtterfield 8,Joseph Ruttenberg and Charles Harten,,,
,,,1960 (33rd),,Exodus,Sam Leavitt,,,
,,,1960 (33rd),,Pepe,Joseph MacDonald,,,
,,,1961 (34th),,,,,,
,,,1961 (34th),,Black-and-White,Black-and-White,,,
,,,1961 (34th),,The Hustler,Eugen Schüfftan,,,
,,,1961 (34th),,The Absent-Minded Professor,Edward Colman,,,
,,,1961 (34th),,The Children's Hour,Franz Planer,,,
,,,1961 (34th),,Judgment at Nuremberg,Ernest Laszlo,,,
,,,1961 (34th),,"One, Two, Three",Daniel L. Fapp,,,
,,,1961 (34th),,Color,Color,,,
,,,1961 (34th),,West Side Story,Daniel L. Fapp,,,
,,,1961 (34th),,Fanny,Jack Cardiff,,,
,,,1961 (34th),,Flower Drum Song,Russell Metty,,,
,,,1961 (34th),,A Majority of One,Harry Stradling,,,
,,,1961 (34th),,One-Eyed Jacks,Charles Lang,,,
,,,1962 (35th),,,,,,
,,,1962 (35th),,Black-and-White,Black-and-White,,,
,,,1962 (35th),,The Longest Day,Jean Bourgoin and Walter Wottitz,,,
,,,1962 (35th),,Birdman of Alcatraz,Burnett Guffey,,,
,,,1962 (35th),,To Kill a Mockingbird,Russell Harlan,,,
,,,1962 (35th),,Two for the Seesaw,Ted D. McCord,,,
,,,1962 (35th),,What Ever Happened to Baby Jane?,Ernest Haller,,,
,,,1962 (35th),,Color,Color,,,
,,,1962 (35th),,Lawrence of Arabia,Freddie Young,,,
,,,1962 (35th),,Gypsy,Harry Stradling,,,
,,,1962 (35th),,Hatari!,Russell Harlan,,,
,,,1962 (35th),,Mutiny on the Bounty,Robert Surtees,,,
,,,1962 (35th),,The Wonderful World of the Brothers Grimm,Paul C. Vogel,,,
,,,1963 (36th),,,,,,
,,,1963 (36th),,Black-and-White,Black-and-White,,,
,,,1963 (36th),,Hud,James Wong Howe,,,
,,,1963 (36th),,The Balcony,George Folsey,,,
,,,1963 (36th),,The Caretakers,Lucien Ballard,,,
,,,1963 (36th),,Lilies of the Field,Ernest Haller,,,
,,,1963 (36th),,Love with the Proper Stranger,Milton Krasner,,,
,,,1963 (36th),,Color,Color,,,
,,,1963 (36th),,Cleopatra,Leon Shamroy,,,
,,,1963 (36th),,The Cardinal,Leon Shamroy,,,
,,,1963 (36th),,How the West Was Won,"William Daniels, Milton Krasner, Charles Lang and Joseph LaShelle",,,
,,,1963 (36th),,Irma la Douce,Joseph LaShelle,,,
,,,1963 (36th),,"It's a Mad, Mad, Mad, Mad World",Ernest Laszlo,,,
,,,1964 (37th),,,,,,
,,,1964 (37th),,Black-and-White,Black-and-White,,,
,,,1964 (37th),,Zorba the Greek,Walter Lassally,,,
,,,1964 (37th),,The Americanization of Emily,Philip H. Lathrop,,,
,,,1964 (37th),,Fate Is the Hunter,Milton Krasner,,,
,,,1964 (37th),,"Hush...Hush, Sweet Charlotte",Joseph Biroc,,,
,,,1964 (37th),,The Night of the Iguana,Gabriel Figueroa,,,
,,,1964 (37th),,Color,Color,,,
,,,1964 (37th),,My Fair Lady,Harry Stradling,,,
,,,1964 (37th),,Becket,Geoffrey Unsworth,,,
,,,1964 (37th),,Cheyenne Autumn,William H. Clothier,,,
,,,1964 (37th),,Mary Poppins,Edward Colman,,,
,,,1964 (37th),,The Unsinkable Molly Brown,Daniel L. Fapp,,,
,,,1965 (38th),,,,,,
,,,1965 (38th),,Black-and-White,Black-and-White,,,
,,,1965 (38th),,Ship of Fools,Ernest Laszlo,,,
,,,1965 (38th),,In Harm's Way,Loyal Griggs,,,
,,,1965 (38th),,King Rat,Burnett Guffey,,,
,,,1965 (38th),,Morituri,Conrad Hall,,,
,,,1965 (38th),,A Patch of Blue,Robert Burks,,,
,,,1965 (38th),,Color,Color,,,
,,,1965 (38th),,Doctor Zhivago,Freddie Young,,,
,,,1965 (38th),,The Agony and the Ecstasy,Leon Shamroy,,,
,,,1965 (38th),,The Great Race,Russell Harlan,,,
,,,1965 (38th),,The Greatest Story Ever Told,William C. Mellor and Loyal Griggs,,,
,,,1965 (38th),,The Sound of Music,Ted D. McCord,,,
,,,1966 (39th),,,,,,
,,,1966 (39th),,Black-and-White,Black-and-White,,,
,,,1966 (39th),,Who's Afraid of Virginia Woolf?,Haskell Wexler,,,
,,,1966 (39th),,The Fortune Cookie,Joseph LaShelle,,,
,,,1966 (39th),,Georgy Girl,Kenneth Higgins,,,
,,,1966 (39th),,Is Paris Burning?,Marcel Grignon,,,
,,,1966 (39th),,Seconds,James Wong Howe,,,
,,,1966 (39th),,Color,Color,,,
,,,1966 (39th),,A Man for All Seasons,Ted Moore,,,
,,,1966 (39th),,Fantastic Voyage,Ernest Laszlo,,,
,,,1966 (39th),,Hawaii,Russell Harlan,,,
,,,1966 (39th),,The Professionals,Conrad Hall,,,
,,,1966 (39th),,The Sand Pebbles,Joseph MacDonald,,,
,,,1967 (40th),,,,,,
,,,1967 (40th),,Bonnie and Clyde,Burnett Guffey,,,
,,,1967 (40th),,Camelot,Richard H. Kline,,,
,,,1967 (40th),,Doctor Dolittle,Robert Surtees,,,
,,,1967 (40th),,The Graduate,Robert Surtees,,,
,,,1967 (40th),,In Cold Blood,Conrad Hall,,,
,,,1968 (41st),,,,,,
,,,1968 (41st),,Romeo and Juliet,Pasqualino De Santis,,,
,,,1968 (41st),,Funny Girl,Harry Stradling,,,
,,,1968 (41st),,Ice Station Zebra,Daniel L. Fapp,,,
,,,1968 (41st),,Oliver!,Oswald Morris,,,
,,,1968 (41st),,Star!,Ernest Laszlo,,,
,,,1969 (42nd),,,,,,
,,,1969 (42nd),,Butch Cassidy and the Sundance Kid,Conrad Hall,,,
,,,1969 (42nd),,Anne of the Thousand Days,Arthur Ibbetson,,,
,,,1969 (42nd),,Bob & Carol & Ted & Alice,Charles Lang,,,
,,,1969 (42nd),,"Hello, Dolly!",Harry Stradling (posthumously),,,
,,,1969 (42nd),,Marooned,Daniel L. Fapp,,,
,,,1970 (43rd),,,,,,
,,,1970 (43rd),,Ryan's Daughter,Freddie Young,,,
,,,1970 (43rd),,Airport,Ernest Laszlo,,,
,,,1970 (43rd),,Patton,Fred J. Koenekamp,,,
,,,1970 (43rd),,Tora! Tora! Tora!,"Osamu Furuya, Shinsaku Himeda, Masamichi Satoh and Charles F. Wheeler",,,
,,,1970 (43rd),,Women in Love,Billy Williams,,,
,,,1971 (44th),,,,,,
,,,1971 (44th),,Fiddler on the Roof,Oswald Morris,,,
,,,1971 (44th),,The French Connection,Owen Roizman,,,
,,,1971 (44th),,The Last Picture Show,Robert Surtees,,,
,,,1971 (44th),,Nicholas and Alexandra,Freddie Young,,,
,,,1971 (44th),,Summer of '42,Robert Surtees,,,
,,,1972 (45th),,,,,,
,,,1972 (45th),,Cabaret,Geoffrey Unsworth,,,
,,,1972 (45th),,1776,Harry Stradling Jr.,,,
,,,1972 (45th),,Butterflies Are Free,Charles Lang,,,
,,,1972 (45th),,The Poseidon Adventure,Harold E. Stine,,,
,,,1972 (45th),,Travels with My Aunt,Douglas Slocombe,,,
,,,1973 (46th),,,,,,
,,,1973 (46th),,Cries and Whispers,Sven Nykvist,,,
,,,1973 (46th),,The Exorcist,Owen Roizman,,,
,,,1973 (46th),,Jonathan Livingston Seagull,Jack Couffer,,,
,,,1973 (46th),,The Sting,Robert Surtees,,,
,,,1973 (46th),,The Way We Were,Harry Stradling Jr.,,,
,,,1974 (47th),,,,,,
,,,1974 (47th),,The Towering Inferno,Fred J. Koenekamp and Joseph Biroc,,,
,,,1974 (47th),,Chinatown,John A. Alonzo,,,
,,,1974 (47th),,Earthquake,Philip H. Lathrop,,,
,,,1974 (47th),,Lenny,Bruce Surtees,,,
,,,1974 (47th),,Murder on the Orient Express,Geoffrey Unsworth,,,
,,,1975 (48th),,,,,,
,,,1975 (48th),,Barry Lyndon,John Alcott,,,
,,,1975 (48th),,The Day of the Locust,Conrad Hall,,,
,,,1975 (48th),,Funny Lady,James Wong Howe,,,
,,,1975 (48th),,The Hindenburg,Robert Surtees,,,
,,,1975 (48th),,One Flew Over the Cuckoo's Nest,Haskell Wexler and Bill Butler,,,
,,,1976 (49th),,,,,,
,,,1976 (49th),,Bound for Glory,Haskell Wexler,,,
,,,1976 (49th),,King Kong,Richard H. Kline,,,
,,,1976 (49th),,Logan's Run,Ernest Laszlo,,,
,,,1976 (49th),,Network,Owen Roizman,,,
,,,1976 (49th),,A Star Is Born,Robert Surtees,,,
,,,1977 (50th),,,,,,
,,,1977 (50th),,Close Encounters of the Third Kind,Vilmos Zsigmond,,,
,,,1977 (50th),,Islands in the Stream,Fred J. Koenekamp,,,
,,,1977 (50th),,Julia,Douglas Slocombe,,,
,,,1977 (50th),,Looking for Mr. Goodbar,William A. Fraker,,,
,,,1977 (50th),,The Turning Point,Robert Surtees,,,
,,,1978 (51st),,,,,,
,,,1978 (51st),,Days of Heaven,Néstor Almendros,,,
,,,1978 (51st),,The Deer Hunter,Vilmos Zsigmond,,,
,,,1978 (51st),,Heaven Can Wait,William A. Fraker,,,
,,,1978 (51st),,"Same Time, Next Year",Robert Surtees,,,
,,,1978 (51st),,The Wiz,Oswald Morris,,,
,,,1979 (52nd),,,,,,
,,,1979 (52nd),,Apocalypse Now,Vittorio Storaro,,,
,,,1979 (52nd),,1941,William A. Fraker,,,
,,,1979 (52nd),,All That Jazz,Giuseppe Rotunno,,,
,,,1979 (52nd),,The Black Hole,Frank V. Phillips,,,
,,,1979 (52nd),,Kramer vs. Kramer,Néstor Almendros,,,
,,,1980 (53rd),,,,,,
,,,1980 (53rd),,Tess,Geoffrey Unsworth (posthumously) and Ghislain Cloquet,,,
,,,1980 (53rd),,The Blue Lagoon,Néstor Almendros,,,
,,,1980 (53rd),,Coal Miner's Daughter,Ralf D. Bode,,,
,,,1980 (53rd),,The Formula,James Crabe,,,
,,,1980 (53rd),,Raging Bull,Michael Chapman,,,
,,,1981 (54th),,,,,,
,,,1981 (54th),,Reds,Vittorio Storaro,,,
,,,1981 (54th),,Excalibur,Alex Thomson,,,
,,,1981 (54th),,On Golden Pond,Billy Williams,,,
,,,1981 (54th),,Ragtime,Miroslav Ondříček,,,
,,,1981 (54th),,Raiders of the Lost Ark,Douglas Slocombe,,,
,,,1982 (55th),,,,,,
,,,1982 (55th),,Gandhi,Billy Williams and Ronnie Taylor,,,
,,,1982 (55th),,Das Boot,Jost Vacano,,,
,,,1982 (55th),,E.T. the Extra-Terrestrial,Allen Daviau,,,
,,,1982 (55th),,Sophie's Choice,Néstor Almendros,,,
,,,1982 (55th),,Tootsie,Owen Roizman,,,
,,,1983 (56th),,,,,,
,,,1983 (56th),,Fanny and Alexander,Sven Nykvist,,,
,,,1983 (56th),,Flashdance,Don Peterman,,,
,,,1983 (56th),,The Right Stuff,Caleb Deschanel,,,
,,,1983 (56th),,WarGames,William A. Fraker,,,
,,,1983 (56th),,Zelig,Gordon Willis,,,
,,,1984 (57th),,,,,,
,,,1984 (57th),,The Killing Fields,Chris Menges,,,
,,,1984 (57th),,Amadeus,Miroslav Ondříček,,,
,,,1984 (57th),,The Natural,Caleb Deschanel,,,
,,,1984 (57th),,A Passage to India,Ernest Day,,,
,,,1984 (57th),,The River,Vilmos Zsigmond,,,
,,,1985 (58th),,,,,,
,,,1985 (58th),,Out of Africa,David Watkin,,,
,,,1985 (58th),,The Color Purple,Allen Daviau,,,
,,,1985 (58th),,Murphy's Romance,William A. Fraker,,,
