Category,Name,Superlative,Year,Notes,Film,Nominees,Awards,Nominations,Recipient
,,,1985 (58th),,Ran,"Takao Saito, Masaharu Ueda, and Asakazu Nakai",,,
,,,1985 (58th),,Witness,John Seale,,,
,,,1986 (59th),,,,,,
,,,1986 (59th),,The Mission,Chris Menges,,,
,,,1986 (59th),,Peggy Sue Got Married,Jordan Cronenweth,,,
,,,1986 (59th),,Platoon,Robert Richardson,,,
,,,1986 (59th),,A Room with a View,Tony Pierce-Roberts,,,
,,,1986 (59th),,Star Trek IV: The Voyage Home,Don Peterman,,,
,,,1987 (60th),,,,,,
,,,1987 (60th),,The Last Emperor,Vittorio Storaro,,,
,,,1987 (60th),,Broadcast News,Michael Ballhaus,,,
,,,1987 (60th),,Empire of the Sun,Allen Daviau,,,
,,,1987 (60th),,Hope and Glory,Philippe Rousselot,,,
,,,1987 (60th),,Matewan,Haskell Wexler,,,
,,,1988 (61st),,,,,,
,,,1988 (61st),,Mississippi Burning,Peter Biziou,,,
,,,1988 (61st),,Rain Man,John Seale,,,
,,,1988 (61st),,Tequila Sunrise,Conrad Hall,,,
,,,1988 (61st),,The Unbearable Lightness of Being,Sven Nykvist,,,
,,,1988 (61st),,Who Framed Roger Rabbit,Dean Cundey,,,
,,,1989 (62nd),,,,,,
,,,1989 (62nd),,Glory,Freddie Francis,,,
,,,1989 (62nd),,The Abyss,Mikael Salomon,,,
,,,1989 (62nd),,Blaze,Haskell Wexler,,,
,,,1989 (62nd),,Born on the Fourth of July,Robert Richardson,,,
,,,1989 (62nd),,The Fabulous Baker Boys,Michael Ballhaus,,,
,,,1990 (63rd),,,,,,
,,,1990 (63rd),,Dances with Wolves,Dean Semler,,,
,,,1990 (63rd),,Avalon,Allen Daviau,,,
,,,1990 (63rd),,Dick Tracy,Vittorio Storaro,,,
,,,1990 (63rd),,The Godfather Part III,Gordon Willis,,,
,,,1990 (63rd),,Henry & June,Philippe Rousselot,,,
,,,1991 (64th),,,,,,
,,,1991 (64th),,JFK,Robert Richardson,,,
,,,1991 (64th),,Bugsy,Allen Daviau,,,
,,,1991 (64th),,The Prince of Tides,Stephen Goldblatt,,,
,,,1991 (64th),,Terminator 2: Judgment Day,Adam Greenberg,,,
,,,1991 (64th),,Thelma & Louise,Adrian Biddle,,,
,,,1992 (65th),,,,,,
,,,1992 (65th),,A River Runs Through It,Philippe Rousselot,,,
,,,1992 (65th),,Hoffa,Stephen H. Burum,,,
,,,1992 (65th),,Howards End,Tony Pierce-Roberts,,,
,,,1992 (65th),,The Lover,Robert Fraisse,,,
,,,1992 (65th),,Unforgiven,Jack N. Green,,,
,,,1993 (66th),,,,,,
,,,1993 (66th),,Schindler's List,Janusz Kamiński,,,
,,,1993 (66th),,Farewell My Concubine,Gu Changwei,,,
,,,1993 (66th),,The Fugitive,Michael Chapman,,,
,,,1993 (66th),,The Piano,Stuart Dryburgh,,,
,,,1993 (66th),,Searching for Bobby Fischer,Conrad L. Hall,,,
,,,1994 (67th),,,,,,
,,,1994 (67th),,Legends of the Fall,John Toll,,,
,,,1994 (67th),,Forrest Gump,Don Burgess,,,
,,,1994 (67th),,The Shawshank Redemption,Roger Deakins,,,
,,,1994 (67th),,Three Colours: Red,Piotr Sobociński,,,
,,,1994 (67th),,Wyatt Earp,Owen Roizman,,,
,,,1995 (68th),,,,,,
,,,1995 (68th),,Braveheart,John Toll,,,
,,,1995 (68th),,Batman Forever,Stephen Goldblatt,,,
,,,1995 (68th),,A Little Princess,Emmanuel Lubezki,,,
,,,1995 (68th),,Sense and Sensibility,Michael Coulter,,,
,,,1995 (68th),,Shanghai Triad,Lü Yue,,,
,,,1996 (69th),,,,,,
,,,1996 (69th),,The English Patient,John Seale,,,
,,,1996 (69th),,Evita,Darius Khondji,,,
,,,1996 (69th),,Fargo,Roger Deakins,,,
,,,1996 (69th),,Fly Away Home,Caleb Deschanel,,,
,,,1996 (69th),,Michael Collins,Chris Menges,,,
,,,1997 (70th),,,,,,
,,,1997 (70th),,Titanic,Russell Carpenter,,,
,,,1997 (70th),,Amistad,Janusz Kamiński,,,
,,,1997 (70th),,Kundun,Roger Deakins,,,
,,,1997 (70th),,L.A. Confidential,Dante Spinotti,,,
,,,1997 (70th),,The Wings of the Dove,Eduardo Serra,,,
,,,1998 (71st),,,,,,
,,,1998 (71st),,Saving Private Ryan,Janusz Kamiński,,,
,,,1998 (71st),,A Civil Action,Conrad L. Hall,,,
,,,1998 (71st),,Elizabeth,Remi Adefarasin,,,
,,,1998 (71st),,Shakespeare in Love,Richard Greatrex,,,
,,,1998 (71st),,The Thin Red Line,John Toll,,,
,,,1999 (72nd),,,,,,
,,,1999 (72nd),,American Beauty,Conrad L. Hall,,,
,,,1999 (72nd),,The End of the Affair,Roger Pratt,,,
,,,1999 (72nd),,The Insider,Dante Spinotti,,,
,,,1999 (72nd),,Sleepy Hollow,Emmanuel Lubezki,,,
,,,1999 (72nd),,Snow Falling on Cedars,Robert Richardson,,,
,,,2000 (73rd),,,,,,
,,,2000 (73rd),,"Crouching Tiger, Hidden Dragon",Peter Pau,,,
,,,2000 (73rd),,Gladiator,John Mathieson,,,
,,,2000 (73rd),,Malèna,Lajos Koltai,,,
,,,2000 (73rd),,"O Brother, Where Art Thou?",Roger Deakins,,,
,,,2000 (73rd),,The Patriot,Caleb Deschanel,,,
,,,2001 (74th),,,,,,
,,,2001 (74th),,The Lord of the Rings: The Fellowship of the Ring,Andrew Lesnie,,,
,,,2001 (74th),,Amélie,Bruno Delbonnel,,,
,,,2001 (74th),,Black Hawk Down,Sławomir Idziak,,,
,,,2001 (74th),,The Man Who Wasn't There,Roger Deakins,,,
,,,2001 (74th),,Moulin Rouge!,Donald McAlpine,,,
,,,2002 (75th),,,,,,
,,,2002 (75th),,Road to Perdition,Conrad Hall (posthumously),,,
,,,2002 (75th),,Chicago,Dion Beebe,,,
,,,2002 (75th),,Far from Heaven,Edward Lachman,,,
,,,2002 (75th),,Gangs of New York,Michael Ballhaus,,,
,,,2002 (75th),,The Pianist,Paweł Edelman,,,
,,,2003 (76th),,,,,,
,,,2003 (76th),,Master and Commander: The Far Side of the World,Russell Boyd,,,
,,,2003 (76th),,City of God,César Charlone,,,
,,,2003 (76th),,Cold Mountain,John Seale,,,
,,,2003 (76th),,Girl with a Pearl Earring,Eduardo Serra,,,
,,,2003 (76th),,Seabiscuit,John Schwartzman,,,
,,,2004 (77th),,,,,,
,,,2004 (77th),,The Aviator,Robert Richardson,,,
,,,2004 (77th),,House of Flying Daggers,Zhao Xiaoding,,,
,,,2004 (77th),,The Passion of the Christ,Caleb Deschanel,,,
,,,2004 (77th),,The Phantom of the Opera,John Mathieson,,,
,,,2004 (77th),,A Very Long Engagement,Bruno Delbonnel,,,
,,,2005 (78th),,,,,,
,,,2005 (78th),,Memoirs of a Geisha,Dion Beebe,,,
,,,2005 (78th),,Batman Begins,Wally Pfister,,,
,,,2005 (78th),,Brokeback Mountain,Rodrigo Prieto,,,
,,,2005 (78th),,"Good Night, and Good Luck",Robert Elswit,,,
,,,2005 (78th),,The New World,Emmanuel Lubezki,,,
,,,2006 (79th),,,,,,
,,,2006 (79th),,Pan's Labyrinth,Guillermo Navarro,,,
,,,2006 (79th),,The Black Dahlia,Vilmos Zsigmond,,,
,,,2006 (79th),,Children of Men,Emmanuel Lubezki,,,
,,,2006 (79th),,The Illusionist,Dick Pope,,,
,,,2006 (79th),,The Prestige,Wally Pfister,,,
,,,2007 (80th),,,,,,
,,,2007 (80th),,There Will Be Blood,Robert Elswit,,,
,,,2007 (80th),,The Assassination of Jesse James by the Coward Robert Ford,Roger Deakins,,,
,,,2007 (80th),,Atonement,Seamus McGarvey,,,
,,,2007 (80th),,The Diving Bell and the Butterfly,Janusz Kamiński,,,
,,,2007 (80th),,No Country for Old Men,Roger Deakins,,,
,,,2008 (81st),,,,,,
,,,2008 (81st),,Slumdog Millionaire,Anthony Dod Mantle,,,
,,,2008 (81st),,Changeling,Tom Stern,,,
,,,2008 (81st),,The Curious Case of Benjamin Button,Claudio Miranda,,,
,,,2008 (81st),,The Dark Knight,Wally Pfister,,,
,,,2008 (81st),,The Reader,Roger Deakins and Chris Menges,,,
,,,2009 (82nd),,,,,,
,,,2009 (82nd),,Avatar,Mauro Fiore,,,
,,,2009 (82nd),,Harry Potter and the Half-Blood Prince,Bruno Delbonnel,,,
,,,2009 (82nd),,The Hurt Locker,Barry Ackroyd,,,
,,,2009 (82nd),,Inglourious Basterds,Robert Richardson,,,
,,,2009 (82nd),,The White Ribbon,Christian Berger,,,
,,,2010 (83rd),,,,,,
,,,2010 (83rd),,Inception,Wally Pfister,,,
,,,2010 (83rd),,Black Swan,Matthew Libatique,,,
,,,2010 (83rd),,The King's Speech,Danny Cohen,,,
,,,2010 (83rd),,The Social Network,Jeff Cronenweth,,,
,,,2010 (83rd),,True Grit,Roger Deakins,,,
,,,2011 (84th),,,,,,
,,,2011 (84th),,Hugo,Robert Richardson,,,
,,,2011 (84th),,The Artist,Guillaume Schiffman,,,
,,,2011 (84th),,The Girl with the Dragon Tattoo,Jeff Cronenweth,,,
,,,2011 (84th),,The Tree of Life,Emmanuel Lubezki,,,
,,,2011 (84th),,War Horse,Janusz Kamiński,,,
,,,2012 (85th),,,,,,
,,,2012 (85th),,Life of Pi,Claudio Miranda,,,
,,,2012 (85th),,Anna Karenina,Seamus McGarvey,,,
,,,2012 (85th),,Django Unchained,Robert Richardson,,,
,,,2012 (85th),,Lincoln,Janusz Kamiński,,,
,,,2012 (85th),,Skyfall,Roger Deakins,,,
,,,2013 (86th),,,,,,
,,,2013 (86th),,Gravity,Emmanuel Lubezki,,,
,,,2013 (86th),,The Grandmaster,Philippe Le Sourd,,,
,,,2013 (86th),,Inside Llewyn Davis,Bruno Delbonnel,,,
,,,2013 (86th),,Nebraska,Phedon Papamichael,,,
,,,2013 (86th),,Prisoners,Roger Deakins,,,
,,,2014 (87th),,,,,,
,,,2014 (87th),,Birdman or (The Unexpected Virtue of Ignorance),Emmanuel Lubezki,,,
,,,2014 (87th),,The Grand Budapest Hotel,Robert Yeoman,,,
,,,2014 (87th),,Ida,Łukasz Żal and Ryszard Lenczewski,,,
,,,2014 (87th),,Mr. Turner,Dick Pope,,,
,,,2014 (87th),,Unbroken,Roger Deakins,,,
,,,2015 (88th),,,,,,
,,,2015 (88th),,The Revenant,Emmanuel Lubezki,,,
,,,2015 (88th),,Carol,Edward Lachman,,,
,,,2015 (88th),,The Hateful Eight,Robert Richardson,,,
,,,2015 (88th),,Mad Max: Fury Road,John Seale,,,
,,,2015 (88th),,Sicario,Roger Deakins,,,
,,,2016 (89th) [10],,,,,,
,,,2016 (89th) [10],,La La Land,Linus Sandgren,,,
,,,2016 (89th) [10],,Arrival,Bradford Young,,,
,,,2016 (89th) [10],,Lion,Greig Fraser,,,
,,,2016 (89th) [10],,Moonlight,James Laxton,,,
,,,2016 (89th) [10],,Silence,Rodrigo Prieto,,,
,,,2017 (90th),,Blade Runner 2049,Roger Deakins,,,
,,,2017 (90th),,Darkest Hour,Bruno Delbonnel,,,
,,,2017 (90th),,Dunkirk,Hoyte van Hoytema,,,
,,,2017 (90th),,Mudbound,Rachel Morrison,,,
,,,2017 (90th),,The Shape of Water,Dan Laustsen,,,
,,,2018 (91st),,,,,,
,,,2018 (91st),,Roma,Alfonso Cuarón,,,
,,,2018 (91st),,Cold War,Łukasz Żal,,,
,,,2018 (91st),,The Favourite,Robbie Ryan,,,
,,,2018 (91st),,Never Look Away,Caleb Deschanel,,,
,,,2018 (91st),,A Star Is Born,Matthew Libatique,,,
,,,2019 (92nd),,,,,,
,,,2019 (92nd),,1917,Roger Deakins,,,
,,,2019 (92nd),,The Irishman,Rodrigo Prieto,,,
,,,2019 (92nd),,Joker,Lawrence Sher,,,
,,,2019 (92nd),,The Lighthouse,Jarin Blaschke,,,
,,,2019 (92nd),,Once Upon a Time in Hollywood,Robert Richardson,,,
,,,2020/21 (93rd),,,,,,
,,,2020/21 (93rd),,Mank,Erik Messerschmidt,,,
,,,2020/21 (93rd),,Judas and the Black Messiah,Sean Bobbitt,,,
,,,2020/21 (93rd),,News of the World,Dariusz Wolski,,,
,,,2020/21 (93rd),,Nomadland,Joshua James Richards,,,
,,,2020/21 (93rd),,The Trial of the Chicago 7,Phedon Papamichael,,,
,,,2021 (94th),,,,,,
,,,2021 (94th),,Dune,Greig Fraser,,,
,,,2021 (94th),,Nightmare Alley,Dan Laustsen,,,
,,,2021 (94th),,The Power of the Dog,Ari Wegner,,,
,,,2021 (94th),,The Tragedy of Macbeth,Bruno Delbonnel,,,
,,,2021 (94th),,West Side Story,Janusz Kamiński,,,
,,,2022 (95th),,,,,,
,,,2022 (95th),,All Quiet on the Western Front,James Friend,,,
,,,2022 (95th),,"Bardo, False Chronicle of a Handful of Truths",Darius Khondji,,,
,,,2022 (95th),,Elvis,Mandy Walker,,,
,,,2022 (95th),,Empire of Light,Roger Deakins,,,
,,,2022 (95th),,Tár,Florian Hoffmeister,,,
,,,,,,,4.0,18.0,Leon Shamroy
,,,,,,,4.0,10.0,Joseph Ruttenberg
,,,,,,,3.0,15.0,Robert Surtees
,,,,,,,3.0,10.0,Conrad Hall
,,,,,,,3.0,10.0,Robert Richardson
,,,,,,,3.0,8.0,Emmanuel Lubezki
,,,,,,,3.0,7.0,Arthur C. Miller
,,,,,,,3.0,5.0,Freddie Young
,,,,,,,3.0,4.0,Vittorio Storaro
,,,,,,,3.0,3.0,Winton C. Hoch
,,,,,,,2.0,16.0,Roger Deakins
,,,,,,,2.0,14.0,Harry Stradling
,,,,,,,2.0,10.0,James Wong Howe
,,,,,,,2.0,8.0,Ray Rennahan
,,,,,,,2.0,7.0,Janusz Kamiński
,,,,,,,2.0,6.0,Charles Rosher
,,,,,,,2.0,5.0,Burnett Guffey
,,,,,,,2.0,5.0,Haskell Wexler
,,,,,,,2.0,4.0,William C. Mellor
,,,,,,,2.0,4.0,Chris Menges
,,,,,,,2.0,4.0,Geoffrey Unsworth
,,,,,,,2.0,3.0,Hal Mohr
,,,,,,,2.0,3.0,Sven Nykvist
,,,,,,,2.0,3.0,John Toll
,,,,,,,2.0,2.0,Freddie Francis
,,,,,,,1.0,18.0,Charles Lang
,,,,,,,1.0,10.0,William V. Skall
,,,,,,,1.0,9.0,W. Howard Greene
,,,,,,,1.0,9.0,Victor Milner
,,,,,,,1.0,8.0,George Barnes
,,,,,,,1.0,8.0,Joseph LaShelle
,,,,,,,1.0,8.0,Ernest Laszlo
,,,,,,,1.0,7.0,Daniel L. Fapp
,,,,,,,1.0,7.0,Tony Gaudio
,,,,,,,1.0,7.0,Ernest Haller
,,,,,,,1.0,7.0,Milton Krasner
,,,,,,,1.0,6.0,Harold Rosson
,,,,,,,1.0,6.0,Gregg Toland
,,,,,,,1.0,5.0,John Seale
,,,,,,,1.0,5.0,Joseph Valentine
,,,,,,,1.0,4.0,Néstor Almendros
,,,,,,,1.0,4.0,Robert Burks
,,,,,,,1.0,4.0,William Daniels
,,,,,,,1.0,4.0,Allen M. Davey
,,,,,,,1.0,4.0,Lee Garmes
,,,,,,,1.0,4.0,Loyal Griggs
,,,,,,,1.0,4.0,Ernest Palmer
,,,,,,,1.0,4.0,Wally Pfister
,,,,,,,1.0,4.0,Leonard Smith
,,,,,,,1.0,4.0,Karl Struss
,,,,,,,1.0,4.0,Vilmos Zsigmond
,,,,,,,1.0,3.0,Jack Cardiff
,,,,,,,1.0,3.0,Karl Freund
,,,,,,,1.0,3.0,Fred J. Koenekamp
,,,,,,,1.0,3.0,Sam Leavitt
,,,,,,,1.0,3.0,Lionel Lindon
,,,,,,,1.0,3.0,Oswald Morris
,,,,,,,1.0,3.0,Philippe Rousselot
,,,,,,,1.0,3.0,Billy Williams
,,,,,,,1.0,2.0,Arthur Arling
,,,,,,,1.0,2.0,Dion Beebe
,,,,,,,1.0,2.0,Joseph Biroc
,,,,,,,1.0,2.0,Robert Elswit
,,,,,,,1.0,2.0,Greig Fraser
,,,,,,,1.0,2.0,Boris Kaufman
,,,,,,,1.0,2.0,Oliver T. Marsh
,,,,,,,1.0,2.0,Russell Metty
,,,,,,,1.0,2.0,Claudio Miranda
,,,,,,,1.0,2.0,Georges Périnal
,,,,,,,1.0,2.0,Paul C. Vogel
,,,,,,,1.0,1.0,John Alcott
,,,,,,,1.0,1.0,Russell Carpenter
,,,,,,,1.0,1.0,Alfonso Cuarón
,,,,,,,1.0,1.0,Anthony Dod Mantle
,,,,,,,1.0,1.0,Andrew Lesnie
,,,,,,,1.0,1.0,Erik Messerschmidt
,,,,,,,1.0,1.0,Guillermo Navarro
,,,,,,,1.0,1.0,Linus Sandgren
,,,,,,,0.0,13.0,George Folsey
,,,,,,,0.0,7.0,Edward Cronjager
,,,,,,,0.0,7.0,John F. Seitz
,,,,,,,0.0,6.0,Caleb Deschanel
,,,,,,,0.0,6.0,Bruno Delbonnel
,,,,,,,0.0,6.0,Russell Harlan
,,,,,,,0.0,5.0,Allen Daviau
,,,,,,,0.0,5.0,Rudolph Maté
,,,,,,,0.0,5.0,Franz Planer
,,,,,,,0.0,5.0,Owen Roizman
,,,,,,,0.0,4.0,Charles G. Clarke
,,,,,,,0.0,4.0,William A. Fraker
,,,,,,,0.0,4.0,Robert H. Planck
,,,,,,,0.0,4.0,Joseph Walker
,,,,,,,0.0,3.0,Michael Ballhaus
,,,,,,,0.0,3.0,Norbert Brodine
,,,,,,,0.0,3.0,Arthur Edeson
,,,,,,,0.0,3.0,Bert Glennon
,,,,,,,0.0,3.0,Ray June
,,,,,,,0.0,3.0,Joseph MacDonald
,,,,,,,0.0,3.0,Ted D. McCord
,,,,,,,0.0,3.0,Sol Polito
,,,,,,,0.0,3.0,Rodrigo Prieto
,,,,,,,0.0,3.0,Douglas Slocombe
,,,,,,,0.0,3.0,William E. Snyder
,,,,,,,0.0,2.0,Joseph August
,,,,,,,0.0,2.0,Michael Chapman
,,,,,,,0.0,2.0,William H. Clothier
,,,,,,,0.0,2.0,Edward Colman
,,,,,,,0.0,2.0,Stanley Cortez
,,,,,,,0.0,2.0,Jeff Cronenweth
,,,,,,,0.0,2.0,Stephen Goldblatt
,,,,,,,0.0,2.0,Darius Khondji
,,,,,,,0.0,2.0,Richard H. Kline
,,,,,,,0.0,2.0,Edward Lachman
,,,,,,,0.0,2.0,Philip H. Lathrop
,,,,,,,0.0,2.0,Dan Laustsen
,,,,,,,0.0,2.0,Matthew Libatique
,,,,,,,0.0,2.0,John Mathieson
,,,,,,,0.0,2.0,Seamus McGarvey
,,,,,,,0.0,2.0,Miroslav Ondříček
,,,,,,,0.0,2.0,J. Peverell Marley
,,,,,,,0.0,2.0,Don Peterman
,,,,,,,0.0,2.0,Tony Pierce
,,,,,,,0.0,2.0,Dick Pope
,,,,,,,0.0,2.0,Eduardo Serra
,,,,,,,0.0,2.0,Dante Spinotti
,,,,,,,0.0,2.0,Harry Stradling Jr.
,,,,,,,0.0,2.0,Leo Tover
,,,,,,,0.0,2.0,Sidney Wagner
,,,,,,,0.0,2.0,Gordon Willis
,,,,,,,0.0,2.0,Łukasz Żal
,,,,,,,0.0,2.0,Phedon Papamichael
